,Date andtime (UTC),"Version,Booster [a]",Launch site,Payload[b],Payload mass,Orbit,Customer,Launchoutcome,Boosterlanding,date,day,year,month,time,season
82,20 January 202113:02:22[138],F9 B5 ♺ B1051.8[139],"KSC,LC-39A",Starlink 16 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,SpaceX,Success,Success(drone ship),2021-01-20 13:02:00,Wednesday,2021,1,13:02:00,Winter
83,24 January 202115:00[142],F9 B5 ♺ B1058.5[143],"CCSFS,SLC-40",Transporter-1: (143 smallsat rideshare),"~5,000 kg (11,000 lb)",SSO,Various,Success,Success(drone ship),2021-01-24 15:00:00,Sunday,2021,1,15:00:00,Winter
84,4 February 202106:19[154],F9 B5 ♺ B1060.5[155],"CCSFS,SLC-40",Starlink 18 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,SpaceX,Success,Success(drone ship),2021-02-04 06:19:00,Thursday,2021,2,06:19:00,Winter
85,16 February 202103:59:37[157],F9 B5 ♺ B1059.6,"CCSFS,SLC-40",Starlink 19 v1.0 (60 satellites)[158],"15,600 kg (34,400 lb)",LEO,SpaceX,Success,Failure (drone ship),2021-02-16 03:59:00,Tuesday,2021,2,03:59:00,Winter
86,4 March 202108:24:54[164],F9 B5 ♺ B1049.8[165],"KSC,LC-39A",Starlink 17 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,SpaceX,Success,Success(drone ship),2021-03-04 08:24:00,Thursday,2021,3,08:24:00,Spring
87,11 March 202108:13:29[168],F9 B5 ♺ B1058.6[169],"CCSFS,SLC-40",Starlink 20 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,SpaceX,Success,Success(drone ship),2021-03-11 08:13:00,Thursday,2021,3,08:13:00,Spring
88,14 March 202110:01:26[171],F9 B5 ♺ B1051.9,"KSC,LC-39A",Starlink 21 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,SpaceX,Success,Success(drone ship),2021-03-14 10:01:00,Sunday,2021,3,10:01:00,Spring
89,24 March 202108:28:24[173],F9 B5 ♺ B1060.6[174],"CCSFS,SLC-40",Starlink 22 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,SpaceX,Success,Success(drone ship),2021-03-24 08:28:00,Wednesday,2021,3,08:28:00,Spring
90,7 April 202116:34:18,F9 B5 ♺ B1058.7,"CCSFS,SLC-40",Starlink 23 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,SpaceX,Success,Success(drone ship),2021-04-07 16:34:00,Wednesday,2021,4,16:34:00,Spring
91,23 April 202109:49:02[177],F9 B5 ♺ B1061.2[178],"KSC,LC-39A",Crew-2(Crew Dragon C206.2 Endeavour ♺ ),"~13,000 kg (29,000 lb)[179]",LEO (ISS),NASA (CTS)[22],Success,Success(drone ship),2021-04-23 09:49:00,Friday,2021,4,09:49:00,Spring
92,29 April 202103:44:30[182],F9 B5 ♺ B1060.7[183],"CCSFS,SLC-40",Starlink 24 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,SpaceX,Success,Success(drone ship),2021-04-29 03:44:00,Thursday,2021,4,03:44:00,Spring
